partenza,arrivo,paese,passeggeri
Roma Fiumicino,New York John F Kennedy Intl,Usa,688442
Milano Malpensa,New York John F Kennedy Intl,Usa,686891
Milano Malpensa,Dubai,United Arab Emirates,660807
Roma Fiumicino,Tel Aviv Yafo Ben Gurion Intl,Israele,637820
Roma Fiumicino,Dubai,United Arab Emirates,622806
Roma Fiumicino,Zurich,Switzerland,478411
Roma Fiumicino,Moscow Sheremetyevo,Russia,478203
Milano Malpensa,Istanbul Ataturk,Turkey,392078
Roma Fiumicino,Abu Dhabi International,United Arab Emirates,380303
Milano Malpensa,Moscow Sheremetyevo,Russia,373473
Roma Fiumicino,Seoul,South Korea (Republic),358888
Roma Fiumicino,Geneva Cointrin,Switzerland,351652
Roma Fiumicino,Istanbul Ataturk,Turkey,348219
Roma Fiumicino,Buenos Aires Ezeiza,Argentine,331479
Roma Fiumicino,Tirana Rinas,Albania,323453
Roma Fiumicino,Doha,Qatar,321158
Roma Fiumicino,Toronto Pearson International,Canada,316130
Milano Malpensa,Doha,Qatar,315078
Milano Malpensa,Tel Aviv Yafo Ben Gurion Intl,Israele,277830
Venezia,Istanbul Ataturk,Turkey,269860
Roma Fiumicino,Cairo International,Egypt,269181
Milano Malpensa,Tirana Rinas,Albania,266938
Roma Fiumicino,Beijing Capital,China,250009
Roma Fiumicino,Atlanta William B Hartsfield,Usa,236016
Roma Fiumicino,Tunis Carthage,Tunisia,225626
Venezia,Dubai,United Arab Emirates,224749
Milano Malpensa,Abu Dhabi International,United Arab Emirates,220537
Roma Fiumicino,Chicago O'Hare International,Usa,219454
Milano Malpensa,Zurich,Switzerland,216711
Venezia,Zurich,Switzerland,216036
Roma Fiumicino,Sao Paulo Guarulhos Intl,Brazil,207815
Milano Malpensa,Cairo International,Egypt,207253
Roma Fiumicino,Istanbul Sabiha,Turkey,206362
Roma Fiumicino,Tokyo Narita,Japan,198923
Roma Fiumicino,Oslo Metropolitan Area,Norway,184878
Bologna,Istanbul Ataturk,Turkey,178804
Milano Malpensa,Hong Kong International,Hong Kong,175862
Roma Fiumicino,Beirut International,Lebanon,173209
Venezia,Moscow Sheremetyevo,Russia,171133
Bologna,Dubai,United Arab Emirates,170291
Roma Fiumicino,Casablanca Mohamed V,Morocco,169390
Bologna,Casablanca Mohamed V,Morocco,165925
Firenze,Zurich,Switzerland,163236
Roma Fiumicino,Miami International,Usa,162858
Roma Fiumicino,Belgrade Beograd,Serbia,161012
Milano Malpensa,Sao Paulo Guarulhos Intl,Brazil,159268
Roma Fiumicino,Montreal Dorval,Canada,157409
Roma Fiumicino,Philadelphia International,Usa,156641
Bologna,Moscow Sheremetyevo,Russia,155366
Milano Malpensa,Muscat Seeb,Oman,151415
Roma Fiumicino,Hong Kong International,Hong Kong,149763
Verona,Moscow Domodedovo,Russia,146551
Venezia,Doha,Qatar,144658
Milano Malpensa,Shangai Phudong,China,143179
Roma Fiumicino,Shangai Phudong,China,137618
Roma Fiumicino,Kiev Borispol,Ukraine,136519
Bergamo,Moscow Vnukovo,Russia,133273
Milano Malpensa,Casablanca Mohamed V,Morocco,132728
Roma Fiumicino,Algiers Houari Boumediene,Algeria,132549
Milano Malpensa,Newark International,Usa,131803
Milano Malpensa,Miami International,Usa,128719
Milano Malpensa,Tokyo Narita,Japan,128117
Bergamo,Istanbul Sabiha,Turkey,127437
Pisa,Tirana Rinas,Albania,123927
Rimini,Moscow Domodedovo,Russia,123557
Roma Fiumicino,Newark International,Usa,121514
Bergamo,Tirana Rinas,Albania,121035
Roma Fiumicino,Rio De Janeiro Internacional,Brazil,120558
Roma Fiumicino,Tehran Imam Khomeini,Iran,120278
Roma Fiumicino,Boston Logan International,Usa,118827
Roma Fiumicino,Santiago Arturo Merino Benitez,Chile,118596
Roma Fiumicino,St. Petersburg Pulkovo,Russia,118463
Verona,Tirana Rinas,Albania,116079
Bologna,Tirana Rinas,Albania,115315
Milano Malpensa,Oslo Metropolitan Area,Norway,115007
Roma Fiumicino,Los Angeles International,Usa,112378
Milano Malpensa,Tunis Carthage,Tunisia,111071
Roma Fiumicino,Bangkok International,Thailand,110114
Napoli,Istanbul Ataturk,Turkey,108473
Milano Malpensa,Kiev Borispol,Ukraine,107755
Roma Fiumicino,Charlotte Douglas,Usa,105622
Roma Fiumicino,Addis Ababa Bole,Ethiopia,105331
Roma Fiumicino,Basel/Mulhouse Euroairport Swiss,Switzerland,104952
Roma Fiumicino,Detroit Wayne County,Usa,103907
Milano Malpensa,Beijing Capital,China,103258
Catania,Geneva Cointrin,Switzerland,102015
Milano Malpensa,Singapore Changi,Singapore,100953
Milano Malpensa,Bangkok International,Thailand,99367
Napoli,Basel/Mulhouse Euroairport Swiss,Switzerland,99160
Milano Malpensa,Havana Jose Marti Intl,Cuba,97956
Napoli,Geneva Cointrin,Switzerland,94953
Bergamo,Marrakech Menara,Morocco,94325
Roma Fiumicino,Washington Dulles Intl,Usa,93193
Roma Fiumicino,Mexico City Juarez International,Mexico,92255
Verona,Kishinev,Moldova,91223
Venezia,New York John F Kennedy Intl,Usa,90332
Milano Malpensa,St. Petersburg Pulkovo,Russia,88838
Bologna,Istanbul Sabiha,Turkey,88686
Roma Fiumicino,Havana Jose Marti Intl,Cuba,86862
Venezia,Geneva Cointrin,Switzerland,86486
Roma Fiumicino,Delhi Indira Gandhi Intl,India,85929
Napoli,Zurich,Switzerland,84268
Venezia,Philadelphia International,Usa,84054
Bologna,Kishinev,Moldova,83408
Milano Malpensa,Delhi Indira Gandhi Intl,India,83138
Milano Malpensa,Marrakech Menara,Morocco,82865
Venezia,Toronto Pearson International,Canada,82597
Brindisi,Geneva Cointrin,Switzerland,80642
Roma Fiumicino,Amman Queen Alia Intl,Jordan,79356
Venezia,Casablanca Mohamed V,Morocco,78784
Catania,Istanbul Ataturk,Turkey,77738
Bergamo,Casablanca Mohamed V,Morocco,75087
Roma Fiumicino,Dallas Ft Worth Intl,Usa,74575
Roma Fiumicino,Split Sinj,Croatia,74392
Venezia,Tirana Rinas,Albania,74069
Olbia,Geneva Cointrin,Switzerland,72550
Venezia,Abu Dhabi International,United Arab Emirates,72257
Verona,Tel Aviv Yafo Ben Gurion Intl,Israele,69760
Pisa,Doha,Qatar,69517
Milano Malpensa,Istanbul Sabiha,Turkey,69078
Roma Fiumicino,Singapore Changi,Singapore,67180
Milano Malpensa,Seoul,South Korea (Republic),66794
Milano Malpensa,Belgrade Beograd,Serbia,66648
Roma Fiumicino,Kishinev,Moldova,63938
Napoli,New York John F Kennedy Intl,Usa,62474
Milano Malpensa,Tehran Imam Khomeini,Iran,62055
Roma Fiumicino,Kiev Zhulhany,Ukraine,61648
Olbia,Basel/Mulhouse Euroairport Swiss,Switzerland,60504
Milano Malpensa,Toronto Pearson International,Canada,59847
Catania,Zurich,Switzerland,58772
Venezia,Tel Aviv Yafo Ben Gurion Intl,Israele,58605
Milano Malpensa,Kishinev,Moldova,57870
Napoli,Moscow Domodedovo,Russia,57803
Venezia,Montreal Dorval,Canada,57513
Milano Malpensa,Marsalam,Egypt,57455
Venezia,Newark International,Usa,57051
Bari,Tirana Rinas,Albania,56344
Roma Fiumicino,Xi An Xianyang,China,56135
Pisa,Moscow Vnukovo,Russia,56101
Treviso,Kishinev,Moldova,56077
Brindisi,Zurich,Switzerland,56047
Roma Fiumicino,Dubrovnik,Croatia,55415
Venezia,Kishinev,Moldova,54348
Roma Fiumicino,Taipei Chiang Kai Shek,Taiwan (China),51171
Ancona,Tirana Rinas,Albania,50386
Napoli,Casablanca Mohamed V,Morocco,50246
Bergamo,Kishinev,Moldova,50018
